PlayerID,Season,Year,Name,Nickname,Team,PrimaryPosition,SecondaryPosition,Bats,Throws,Age,Height,Weight,OVR,Potential,ContactL,ContactR,PowerL,PowerR,Vision,Discipline,PlateVision,PlatePatience,Bunting,DragBunting,Durability,ClutchHitting,Speed,Stealing,BRAggression,Fielding,Reaction,ArmStrength,ArmAccuracy,Blocking,Framing,PitchCalling,Composure,Stamina,HPer9,KPer9,BBPer9,HRPer9,Velocity,Control,Break,ClutchPitching,PitchingComposure,Pitch1Type,Pitch1MPH,Pitch1Velo,Pitch1Ctrl,Pitch1Break,Pitch2Type,Pitch2MPH,Pitch2Velo,Pitch2Ctrl,Pitch2Break,Pitch3Type,Pitch3MPH,Pitch3Velo,Pitch3Ctrl,Pitch3Break,Pitch4Type,Pitch4MPH,Pitch4Velo,Pitch4Ctrl,Pitch4Break,PullPct,CenterPct,OppoPct,GBPct,LDPct,FBPct,SwingPct,InsidePct,OutsidePct,StrikePct,FirstPitchStrikePct,HotZone,ColdZone,BattingStance,Quirks,Flaw,NotableTrait,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR,W,L,ERA,WHIP,P_GP,GS,IP,H_Allowed,ER,K_Pitched,BB_Allowed,HR_Allowed,SV,HLD,BS,CG,SHO,PO,A,E,FPCT,DP,Awards
P001,1,2026,Cyris Sullivan,Cream Machine,Bombers,SS,2B,R,R,21,5'7,145,71,92,88,94,22,18,91,88,93,85,90,88,70,99,65,70,75,84,92,68,80,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,45,25,55,35,10,38,,,,,Low Away/Low Middle,High Inside,Crouched Open,"Bad Ball Hitter,Pressure Cooker,Table Setter,Contact Hitter",Tilt Mode after 2 Ks,Always clutch in ranked,135,566,499,53,144,28,1,3,36,61,63,41,9,0.289,0.371,0.367,0.738,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,329,19,0.98,23,Led in stolen basses
P002,1,2026,Shea Harrison,,Bombers,DH,1B,L,R,22,5'9,215,68,84,55,35,93,65,48,45,50,40,20,15,85,88,22,15,25,50,55,72,50,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,20,5,25,25,50,72,,,,,Middle In Belt-High,Outside/High Heat,Open Wide w/ Leg Kick,"Crowd Pleaser,Dead Red,Bomber,Free Swinger",Empty Stadium Slump,Only tries when watched,162,653,618,59,144,19,1,26,73,32,132,5,2,0.233,0.274,0.408,0.682,-1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,Rookie Of The Year
P003,1,2026,Jaedan,Master Gooner,Bombers,RF,,R,R,21,6'2,155,70,80,68,72,70,75,65,60,68,55,40,38,60,35,50,45,80,70,65,88,72,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,30,20,30,35,35,60,,,,,Middle/Middle-Up,Low Away,Tall Upright,"Outlier (arm),Showboat,Glamour Stats",One and Done,Bat flips guaranteed,87,364,341,45,94,12,0,21,52,21,46,15,8,0.276,0.32,0.496,0.816,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,9,4,0.981,9,
P004,1,2026,Gui,Acid Chair,Bombers,C,3B,R,R,22,5'10,195,65,88,75,78,55,62,89,86,91,88,65,40,80,75,55,30,50,90,85,84,88,88,94,96,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,40,25,35,45,20,35,,,,,Low Away/Low Middle,High Inside FB,Balanced Square,"Pitch Whisperer,Defensive Wizard,Hot Head,Selective Hitter",Anime distractions/3x ejection rate,Knows too much about anime,0,134,539,459,57,126,26,0,11,53,77,70,17,7,0.257,0.381,0.403,0.784,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240,74,2,0.998,22,All-Start
P005,1,2026,Carlos,Kevin G,Bombers,1B,DH,R,R,21,6'3,230,67,81,38,50,75,96,42,38,40,30,15,10,78,60,18,10,15,45,40,78,55,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,25,10,20,25,55,78,,,,,Middle-Middle,Any Corner,Wide Closed No Stride,"Mistake Hitter,Bomber,Stubborn,Hot Head,First Pitch Hitter",Brainrot Focus / 30% first pitch swing,Only good at brainrot Roblox,137,547,507,47,95,14,3,22,60,35,139,7,2,0.187,0.247,0.357,0.604,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,173,8,0.967,15,
P006,1,2026,Marcus,Marquis,Bombers,CF,RF,R,R,22,5'11,175,64,90,65,70,58,65,75,70,78,75,55,60,75,91,70,65,55,75,72,76,74,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,20,40,40,20,50,,,,,Middle-Middle,Familiar Pitchers,Textbook Square,"Cool Customer,Quick Learner,Late Bloomer,Clutch Hitter",Refuses scouting reports,Calm lazy genius,136,589,517,66,139,36,3,15,56,62,87,15,5,0.269,0.352,0.437,0.789,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,19,4,0.987,11,
P007,1,2026,Ian,,Bombers,SP,,R,R,21,5'10,165,96,92,65,65,68,68,72,68,70,65,40,30,83,72,78,70,75,60,68,70,68,,,,55,77,84,91,67,79,99,72,92,64,55,4-Seam Fastball,97,99,75,60,Slider,88,88,78,92,Changeup,84,80,70,88,Curveball,80,75,65,90,50,30,20,35,35,30,65,55,45,62,70,Middle-Middle,Up and In,Cross-Fire Delivery,"Outlier (velo),Fireballer,Hot Head,Five Tool,Workhorse",Compete Mode Tilt - 1ER drops 12pts,Weirdly good at random things,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,11,12,3.31,1.26,0,33,184.2,163,68,214,70,14,0,0,0,1,1,14,9,1,0.958,0,Led in strike outs
P008,1,2026,Griffin,,Bombers,LF,1B,R,R,22,6'1,185,72,86,75,88,70,87,91,60,94,50,40,30,72,65,55,40,30,42,50,75,55,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,30,15,25,35,40,65,,,,,Any Fastball,Any Breaking Ball,Slight Crouch Still,"Outlier (vision),Bomber,One Trick Pony,Lazy,Fastball Hunter",Osu Brain - locks only on FB,Only plays osu,103,420,389,45,100,21,1,20,52,28,52,6,0,0.257,0.309,0.47,0.779,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,5,10,0.953,18,
P009,1,2026,Caden,Tweaker,Bombers,RP,,R,R,21,5'11,170,69,83,55,60,45,50,60,50,55,45,30,25,68,65,80,60,90,55,55,75,55,,,,80,35,80,86,60,75,84,70,90,88,80,Sinker,91,82,70,78,Splitter,86,78,65,94,Cutter,88,80,75,85,,,,,,,,,,,,40,60,58,65,Mystery,Mystery,Funky Low 3/4,"Ghost,Sprinter,Pressure Cooker,Mystery Man",Disappears 4 games at a time,Nobody knows anything,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,6,13,3.08,1.28,0,0,0,0,35,116,38,35,3,25,3,0,0,6,4,0,1,,
P010,1,2026,Ronin,,Bombers,LF,,L,R,21,5'8,170,66,78,60,35,86,55,50,30,55,20,50,65,70,25,84,78,95,62,60,75,58,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,25,5,30,30,40,82,,,,,Middle-In,Off Plate,Aggressive Open Big Stride,"Speedster,Bomber,Hot Head,Free Swinger,Rally Killer",Reasonless Rage / 25% ejection,Gets really mad no reasoning,137,509,488,43,114,19,3B,17,38,16,84,27,9,0.234,0.262,0.389,0.651,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,340,5,0.991,11,
P011,1,2026,Keaton,My Bigness,Bombers,1B,DH,R,R,22,6'4,270,73,87,50,68,75,95,60,55,62,50,25,5,88,90,20,8,15,55,58,82,60,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,18,2,22,28,50,60,,,,,Inner Half Belt-High,Outside Corner,Massive Square No Stride,"Bomber,Crowd Pleaser,Trash Talker,Insecure,Pull Hitter",Pull Only - refuses oppo,Best trash talker of all time,101,390,418,48,92,12,0,22,53,26,87,3,2,0.236,0.287,0.436,0.723,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,91,e,0.991,20,
